Account,Won,Webinar,Conference,Website,Preqs,Trials,MKT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
FirstBank Holding Company,20536,0,0,0,0,0,0,0,0,0,23,1,50
Webmd Health Corp.,20456,4,1,3,1,1,5,0,0,0,32,5,2749
"Kestra Financial, Inc.",20000,0,0,1,1,0,1,0,0,0,5,3,450
Meritor,20000,0,0,1,1,0,1,0,0,0,7,3,782
Safe Software,20000,1,2,1,0,1,4,0,0,1,9,2,475
Kaiser Permanente,19629,10,21,4,2,2,79,1,0,0,221,21,4130
IBM Watson Health,19400,0,2,0,0,0,2,1,0,0,2,0,6
Dimension Data North America Inc.,19320,2,6,0,0,0,13,0,0,0,54,5,308
CARFAX,19250,2,26,2,1,2,32,0,0,0,46,7,1836
State of Colorado,19200,0,0,1,1,0,1,2,0,0,6,1,318
Citizens Property Insurance Corporation,19026,4,3,1,0,1,6,1,0,0,27,4,1651
Microsemi Corporation,18850,0,1,1,1,0,7,0,0,0,40,3,550
Symantec,18666,27,33,18,1,7,171,1,1,0,532,46,12827
Kpit technologies ltd,18000,3,0,4,0,4,7,1,0,0,10,4,1211
Union Bank,16968,6,8,4,1,2,16,0,0,0,35,12,3498
S&P Global,16487,10,12,2,0,0,23,0,1,0,221,9,2050
Northwestern University,16167,3,5,4,0,3,11,1,0,0,23,9,3144
Wolters Kluwer Clinical Solutions,16085,4,1,1,0,0,7,0,0,0,20,5,1419
American Student Assistance,16000,2,2,0,0,0,2,0,1,0,3,2,1416
Alcatel-Lucent - Canada,15667,0,0,0,0,0,0,0,0,0,30,2,656
Airline Tariff Publishing Company (ATPCO),15262,5,11,5,0,0,19,1,0,0,38,11,2911
Marquardt Service GmbH,15176,1,0,2,0,1,3,2,0,0,14,3,527
United States Postal Service,15112,1,2,1,0,0,17,3,0,0,25,3,283
Eaton Vance,14893,2,3,2,0,0,4,0,0,0,10,3,1113
Financial Engines,14706,2,12,2,0,0,17,0,0,0,50,6,1538
PT Bank Tabungan Pensiunan Nasional,14680,0,1,2,1,1,2,1,0,0,3,2,955
Liberty Mutual Insurance International,14635,0,0,0,0,0,0,0,0,0,3,1,156
Revcontent,14600,0,1,2,0,2,5,0,0,1,9,2,305
Aetna Life Insurance Company,14599,20,30,1,0,1,83,3,0,0,479,36,6555
Banco de la Republica,14400,1,1,0,0,0,1,1,0,0,2,2,786
Electronic Arts,14000,23,23,11,0,7,62,0,1,0,232,22,5774
Deutsche Post DHL Group,13853,1,1,1,0,1,2,3,0,0,16,1,754
Credit Suisse UK,13565,1,10,2,0,1,15,0,0,1,84,8,1488
Nuxeo,13534,0,6,2,0,2,9,0,0,0,17,4,1353
PDT Partners LLC,13200,0,0,1,0,1,1,0,0,0,9,2,321
Assicurazioni Generali S.p.A.,13117,1,1,0,0,0,3,5,0,0,16,3,611
Temenos,13042,8,6,3,0,0,17,0,0,1,24,13,5119
Basis Tecnologia da Informação S.A.,12750,1,0,1,0,1,2,2,0,0,2,1,1206
Fastly,12500,0,2,1,0,1,3,0,0,0,33,2,400
Transportation Security Administration (TSA),12399,1,4,0,0,0,13,1,0,0,17,2,438
TD Auto Finance,12368,2,0,0,0,0,3,1,0,0,9,3,885
Siemens AG - Schweiz,12127,1,0,1,1,0,1,0,0,0,22,3,2391
Idaho Power Company,12125,1,1,0,0,0,3,0,0,0,10,0,50
"RSA, The Security Division of EMC",12050,2,3,0,0,0,8,0,0,0,60,2,1232
Rockwell Collins,12025,1,11,0,0,0,23,0,0,0,180,5,1031
County of Alameda,12000,0,0,0,0,0,1,1,0,0,14,1,674
Entel,12000,1,13,1,0,0,14,1,0,1,15,8,1560
ImageWare Systems Inc,12000,2,1,1,0,0,2,0,0,0,9,2,1557
"Primerica Financial Services, Inc.",12000,1,1,1,0,0,6,0,0,0,17,4,180
WeatherBug,12000,0,2,0,0,0,2,0,0,0,14,7,885
Comcast Corporation,11966,14,60,11,1,4,187,1,2,0,391,16,2857
"Mount Sinai Health System, Inc.",11500,1,0,0,0,0,3,0,0,0,10,4,1113
The Wharton School of Business,11494,1,1,0,0,0,3,0,0,0,7,3,1073
Genworth Financial,11480,7,11,1,0,1,58,0,0,0,123,9,2066
LiveAction,11285,2,1,0,0,0,2,0,0,0,5,2,1104
Exelon Corporation,11204,5,2,4,0,3,17,1,0,0,181,7,2265
The Hartford,11131,8,10,6,0,0,32,4,0,0,238,13,3619
Safeway,10750,0,0,0,0,0,3,0,0,0,138,7,859
Federal Reserve Bank of New York,10720,3,2,2,0,1,10,4,0,0,29,6,1598
European Patent Office EPO,10654,0,2,0,0,0,2,0,0,0,10,3,650
"Blackline Systems, Inc.",10575,1,4,1,0,1,7,0,0,0,13,1,825
Edward Jones,10520,5,3,2,0,0,12,0,0,0,45,8,1709
Centers for Medicare & Medicaid Services Web and New Media,10314,0,6,2,0,1,11,5,0,0,20,3,1191
Brandt Information,10000,0,0,1,1,1,1,0,0,0,3,2,811
Google,10000,6,29,70,1,3,109,0,0,0,380,71,9588
National Education Association (NEA),10000,1,0,2,1,0,4,0,0,0,16,3,816
ThoughtSpot Inc,10000,1,4,2,0,1,5,0,0,0,26,4,985
UCLA,9999,0,9,1,0,1,13,0,0,0,17,6,840
BMW Group IT,9989,1,1,1,0,0,1,2,0,0,4,2,454
Klaverblad Verzekeringen,9766,1,1,3,0,1,8,1,0,0,14,4,1763
McAfee,9723,5,31,5,1,1,42,0,1,0,208,36,4540
CIG,9700,5,11,1,0,0,14,0,0,0,34,11,3981
Arizona State University,9643,1,6,1,0,1,20,2,0,0,71,8,1636
Harbor Freight Tools,9600,0,0,0,0,0,0,1,0,0,37,2,350
ZF CEC,9497,0,0,1,0,1,7,0,0,0,10,4,2067
Ferguson Enterprises,9295,4,8,2,0,1,27,2,0,0,126,5,1050
TTTech Computertechnik,9197,0,0,2,0,0,4,0,1,1,11,2,1071
BCBS of AZ,9000,3,0,1,0,1,11,2,0,0,56,3,962
MUFG Bank,8877,0,0,1,0,1,1,0,0,0,13,5,771
Lufthansa Technik AG,8875,1,3,1,1,0,5,3,0,1,10,3,1253
"Medallia, Inc.",8840,2,12,1,0,0,19,0,0,0,28,6,1316
Loblaw Companies/ George Weston Limited,8554,1,0,1,0,1,3,1,0,0,25,2,318
Prosper Marketplace,8500,0,2,2,0,1,4,0,0,0,30,7,1252
DaVita,8321,4,8,2,0,1,15,2,0,0,96,6,1346
U.S. Department of State,8155,0,1,0,0,0,10,1,0,0,11,1,109
Talyst,8000,0,0,0,0,0,0,1,0,0,1,0,0
Service-Flow,7729,0,1,1,1,0,2,0,0,0,3,1,336
"Advent Software, Inc.",7650,4,3,2,0,1,6,0,0,0,150,3,1430
Verizon - Fios Lab,7600,1,0,0,0,0,1,0,0,0,3,0,68
Shape Security,7500,0,0,0,0,0,3,0,0,0,34,3,857
Toyota Industries Corporation (Techmatrix Sourced),7475,1,0,1,0,0,1,1,0,0,2,1,667
"Vantiv, LLC",7292,3,4,1,0,0,11,0,0,0,46,2,824
"Trading Technologies International, Inc.",7275,1,1,1,0,1,4,0,0,0,44,4,1357
The Guardian Life Insurance Company of America,7200,3,6,1,0,1,16,2,0,0,82,3,1698
Banca Popolare di Sondrio,7142,0,1,0,0,0,1,2,0,0,2,1,284
Tendril,7048,0,1,0,0,0,2,0,0,0,6,3,564
ESPN,7000,0,2,0,0,0,3,0,0,0,49,3,356
IAG New Zealand LTD,6903,0,0,0,0,0,0,1,0,0,2,0,0
"[24]7.ai, Inc.",6732,2,1,2,0,0,12,0,0,0,56,5,1537
Centers for Medicare and Medicaid Services (CMS),6702,6,2,0,0,0,10,2,0,0,11,4,2766
Hulu,6675,1,5,1,0,0,15,0,0,1,277,5,926
KAR Auction Services,6650,3,5,0,0,0,8,2,0,0,19,10,2761
PricewaterhouseCoopers LLP,6500,11,49,17,4,5,98,0,0,0,299,14,4180
"AISIN SEIKI Co.,Ltd.",6500,0,0,1,0,1,2,1,0,0,2,1,400
Bluegreen Vacations,6500,0,0,0,0,0,2,2,0,0,6,1,150
REZ-1,6500,0,3,1,0,0,5,0,0,0,14,3,1620
Nordic Semiconductor ASA,5904,0,0,0,0,0,1,0,0,0,10,3,757
U.S. General Services Administration,5660,5,22,2,0,1,38,4,0,0,44,7,4438
HUK-COBURG,5533,0,0,3,0,1,3,4,0,0,10,2,1047
Westpac Banking Corporation,5042,5,3,10,0,8,20,1,0,0,46,9,2125
Audioworks,5000,0,0,2,1,1,2,0,0,0,2,2,321
NinthDecimal,5000,0,0,0,0,0,0,0,0,0,3,1,159
Robin Powered,5000,1,0,0,0,0,1,0,0,0,5,1,945
Rodan + Fields,5000,2,4,1,0,0,5,0,0,0,17,3,635
Synthetic Genomics,5000,0,2,1,1,0,3,0,0,0,6,2,540
Watchguard Technologies,5000,2,6,0,0,0,8,0,0,1,13,6,1057
Farm Credit Services of America,5000,1,0,1,0,0,3,0,1,0,8,3,657
Redbend LTD,4992,1,0,0,0,0,1,1,0,0,18,4,737
FIS Mobile,4962,3,3,1,0,1,11,1,0,0,20,3,647
Sutter Health,4958,3,3,3,0,2,14,3,0,0,157,5,1461
Veritas Technologies LLC,4928,19,15,8,0,1,55,0,0,0,169,20,3342
Citigroup Inc.,4697,22,20,12,0,4,76,0,0,1,249,23,6133
DiscoverOrg,4600,1,0,1,0,1,2,0,0,0,9,2,472
"Rent-A-Center Texas, L.P.",4250,1,5,1,0,1,24,0,0,0,93,8,1819
QBE Americas Inc,4203,0,0,0,0,0,0,0,1,0,33,1,269
BNP Paribas - Fortis Banque SA,4149,11,8,6,0,1,31,13,0,0,50,17,4700
Encore Capital Group Inc,4000,2,20,0,0,0,24,1,0,0,41,6,1144
American Family Insurance,3968,7,15,4,0,1,43,0,0,0,202,12,3152
American Express (GBT),3927,0,0,1,0,1,1,2,1,0,1,0,100
TomTom International B.V.,3883,2,8,3,0,1,18,1,0,0,42,5,2501
Royal Bank of Canada - Capital Markets,3843,1,1,0,0,0,1,0,0,0,1,1,413
Kuehne + Nagel (AG & Co.) KG,3829,2,2,1,0,1,6,3,0,1,29,5,782
Randstadgroep Nederland,3791,0,1,1,0,0,2,1,0,0,3,2,718
Bloomberg Finance L.P.,3560,10,13,3,1,0,32,2,0,1,118,17,2312
ATB Financial,3500,0,1,0,0,0,16,2,0,0,78,4,704
Vantiv - eCommerce,3464,0,1,0,0,0,2,0,0,0,11,3,864
Procter & Gamble,3395,0,1,0,0,0,2,1,0,0,167,4,470
FINRA,3150,3,8,0,0,0,22,0,1,0,51,5,944
Bet365,3058,2,0,0,0,0,4,0,0,0,31,5,1184
BANCA D'ITALIA,3030,0,2,0,0,0,3,8,0,0,5,3,498
North Carolina Farm Bureau Insurance Group,3000,1,0,1,0,1,3,0,0,0,5,1,1847
Itron,2940,0,11,0,0,0,14,0,2,0,70,9,1175
TPICAP,2919,1,1,0,0,0,2,0,0,1,19,2,580
Raytheon Company [Missile Systems] (child),2902,0,1,1,0,1,1,5,0,0,2,1,423
UNIQA Software Service GMBH,2754,1,0,2,1,0,3,2,0,0,4,3,717
iconectiv,2750,1,4,5,1,4,10,0,0,0,15,9,2513
