Account,Lost,Webinar,Conference,Website,Preqs,Trials,MKTT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
American Airlines,44100,24,27,6,0,4,158,1,1,1,517,86,15707
JCPenney,44100,4,3,0,0,0,13,0,0,0,200,3,309
Aviva UK,44050,1,0,0,0,0,2,0,0,0,58,2,388
CINTEO GmbH,41640,0,2,1,1,0,3,0,0,0,3,1,106
"Zynga, Inc.",41500,0,1,0,0,0,3,0,0,0,164,2,65
"Caterpillar, Inc.",41500,1,3,0,0,0,23,0,0,0,243,2,14
Bluestem Brands,41000,2,7,0,0,0,8,0,0,0,45,4,524
L3 Technologies,41000,1,4,2,0,0,20,1,0,0,102,4,1292
US Department of Justice,40549,0,2,0,0,0,12,0,0,0,13,0,3
VML,40500,1,1,0,0,0,2,0,0,0,72,0,-51
Red Bull GmbH,40346,0,0,2,0,2,11,0,0,0,24,2,265
OE Connection,40000,1,2,0,0,0,12,1,0,0,21,2,-95
Argo Ai,40000,0,1,2,0,2,2,0,0,0,8,2,1629
BCBS of MA,40000,0,1,1,0,0,9,1,0,0,101,2,277
Bell Media,40000,1,2,0,0,0,2,0,0,0,12,1,-32
Bose Corporation,40000,2,9,4,0,1,29,0,0,0,133,5,1505
CMNHospitals,40000,0,0,0,0,0,1,0,0,0,1,0,-50
COUNTRY Financial,40000,0,2,0,0,0,12,0,0,0,36,2,200
Decisiv,40000,1,2,1,0,1,3,0,0,0,8,1,-179
Delta Dental of California,40000,0,7,2,0,2,11,0,0,0,118,4,1143
"DrFirst, Inc.",40000,0,0,2,0,1,2,0,0,0,30,1,276
HBO,40000,6,9,1,0,0,26,0,0,0,194,6,1420
IGT,40000,5,8,3,0,1,35,0,0,0,468,9,1072
Jive Communications,40000,1,2,1,1,0,10,0,0,0,33,3,502
Northern Trust,40000,0,5,2,2,1,50,0,0,0,297,6,1004
Prismtech,40000,0,3,1,1,0,3,0,0,0,5,1,297
Trimble Navigation,40000,11,22,4,0,0,45,0,0,0,427,9,1051
Consensus Corporation,39500,3,2,1,0,0,5,0,0,0,21,4,971
QuickPlay Media,39500,8,2,1,0,0,16,0,0,0,31,4,1193
Zalando GmbH,39483,0,4,0,0,0,5,0,0,1,28,1,85
Guidewire Software,38625,2,11,0,0,0,13,0,0,0,92,2,417
BMO Harris Bank,38500,0,0,0,0,0,2,0,0,0,56,0,-50
Government of Canada,37500,0,3,0,0,0,3,0,0,0,10,3,50
Deutsche Bank UK,37310,2,6,3,0,0,18,1,0,0,85,8,860
EPA,36890,0,0,1,0,0,1,1,0,0,2,0,60
Colruyt Group,36836,3,2,1,1,1,5,1,1,0,7,4,807
Argonne National Laboratory (ANL),36758,0,0,1,1,0,1,0,0,0,20,1,153
US Courts,36758,2,2,3,2,1,9,0,0,0,12,5,1094
US Navy,36758,0,11,2,2,0,30,0,0,0,36,8,838
L.L. Bean Inc.,36000,1,3,2,0,1,6,0,0,0,90,1,420
MailChimp,36000,0,0,1,1,0,2,0,0,0,40,0,-208
MITRE Corporation,36000,9,26,6,2,1,56,0,0,0,134,11,2139
Fastenal,35280,1,2,0,0,0,3,1,0,0,9,1,118
AdRoll,35000,0,0,1,0,0,1,0,0,0,45,1,-51
AmerisourceBergen,35000,1,7,1,0,0,16,1,0,0,121,10,1379
